"","Replicate","LPC (16:0)_1","LPC (16:0)_2","LPC (16:1)_1","LPC (18:0)","LPC (18:1)_1","LPC (18:1)_2","LPC (18:2)_1","LPC (18:2)_2","LPC (18:3)_1","LPC (18:3)_2","LPC (20:2)_1","LPC (20:3)_1","LPC (20:3)_2","LPC (20:4)_1","LPC (20:4)_2","LPC (20:4)_3","LPC (20:5)_1","LPC (20:5)_3","LPC (22:4)_1","LPC (22:5)_1","LPC (22:5)_2","LPC (22:6)_1","LPE (20:4)_3.51","LPE (20:4)_3.71","LPE (20:6)_3.60","LPS (18:0)","PC (32:0)","PC (32:1-16:1_16:0ev18:4_14:0)","PC (34:1-18:1_16:0)","PC (34:2-18:2_16:0)","PC (34:3-18:2_16:1ev18:3_16:0)","PC (36:0)_nurExactMass","PC (36:1-18:1_18:0)","PC (36:2-18:2_18:0ev18:1_18:1)","PC (36:3-18:2_18:1)","PC (36:4-20:4_16:0)","PC (36:5-20:5_16:0)","PC (36:6-22:6_14:0)","PC (38:5-20:4_18:1)","PC (38:5-22:5_16:0)_12.07","PC (38:6-22:6_16:0)","PC (38:7-22:6_16:1)","PC (40:6-22:6_18:0)","PC (40:7-22:6_18:1)","PC (40:8-22:6_18:2)","PC (40:9-22:6_18:3)","PE (34:1-18:1_16:0)","PE (34:2-18:2_16:0)","PE (36:1-18:1_18:0)","PE (36:2-18:1_18:1)","PE (36:2-18:2_18:0)","PE (36:3-18:2_18:1)","PE (36:4-20:4_16:0)","PE (38:4-20:4_18:0)","PE (38:5-20:4_18:1ev20:5_18:0)","PE (38:5-22:5_16:0)","PE (38:6-20:5_18:1ev20:4_18:2)","PE (40:5-22:5_18:0)","PE (40:6-22:5_18:1)","PI (36:2-18:2_18:0)","PI (38:4-18:0_20:4)","PI (38:5-18:0_20:5)","P-PC (34:0)","P-PE (34:1-P16:0_18:1)","P-PE (34:2-P16:0_18:2)","P-PE (34:3-P16:0_18:3)","P-PE (36:0)_nurExactmass","P-PE (36:1-P18:0_18:1)","P-PE (36:2-P18:0_18:2)","P-PE (36:2-P18:1_18:1)","P-PE (36:3-18:2_P18:1ev18:3_18:0)","P-PE (36:4-P16:0_20:4)_12.94","P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52","P-PE (36:4-P18:1_18:3)_12.41","P-PE (36:5-P16:0_20:5)","P-PE (38:4-P18:0_20:4)","P-PE (38:4-P18:0_20:4evP18:1_20:3)","P-PE (38:5-P16:0_22:5)","P-PE (38:5-P18:0_20:5)","P-PE (38:6-P18:0_20:6)","P-PE (38:6-P18:1_20:5)","P-PE (40:5-P18:0_22:5)","P-PE (40:6-P18:0_22:6)","P-PE (40:6-P18:1_22:5)","Sample","Group"
"1","sample1_1",24.5066464430173,17.6497684072549,18.540256715137,21.765564529404,23.386444447315,21.501978066211,24.1695712088619,20.668269548954,19.9668842020095,18.1781347514741,18.1430244090037,19.2313360433797,14.4611596656067,16.6117884901731,21.0216997941972,16.4286873070203,18.9752966218942,20.7960966602861,16.7868949526913,19.5250026604437,15.5772812935943,16.6239243450994,19.0578621949712,15.5819949284371,19.0626048376779,18.1116349343745,24.6217301254016,26.6220520289784,30.5712109352261,30.6991722132777,27.8156836451312,18.6206315111484,27.3013108364733,29.0073959880133,28.7870410348814,27.3386832085425,25.6228749223039,20.2696529158571,20.2413699056297,25.8518045989322,22.2457920454519,18.8135808029896,14.6817325512368,20.2188351726508,23.3028988128695,14.5098368469247,21.8251878403929,23.0933548564977,23.0050027186645,26.3743903927605,26.3734543147053,24.6332435377764,21.1726692202949,26.2791596974472,24.0180506386993,20.1475291549694,20.0599715212417,23.1842340017744,19.8763595628777,21.8007083771999,22.595919194511,21.0622187780227,24.9008922755801,23.1943591992138,25.4511265764431,22.3739266433754,19.120835230966,23.228064888556,26.4006022509642,26.3994818452264,24.7280308826684,25.1826786100567,21.0967756257766,20.7042194392367,23.6887463210505,22.8750316104021,25.9076030469754,24.9930186982642,25.176440828573,20.4991918931408,22.1200638136002,24.5721993296771,20.8893197646708,21.9905177722148,"sample1","beef"
"2","sample1_2",23.1971025319592,16.3148310357456,17.1380517627986,20.6956734906516,22.0287829074234,20.3973967985035,22.6844451567794,18.8015662797987,18.8291776580406,16.456931890949,16.7895463805695,17.8047612557097,15.6849677251439,15.2634526070218,19.5199318190346,15.4853890887693,17.8846952135464,19.0736525841771,15.4729446337796,18.0723681620259,12.9989976683631,9.16366097334985,17.3773376419504,11.2180053409862,17.3773376419504,16.8418222997694,24.1148229793898,26.0199764693273,29.9919520939944,30.2530321588568,27.4282361281921,18.2861832143677,26.9459200903987,28.3863397722288,28.2788134018216,27.0260624303016,25.2918387585734,11.8423756183415,20.425686137043,25.6427291670049,22.3234039140253,18.2417411414286,19.1082845185365,19.7403868783102,23.0568782963589,16.1306912113378,21.2951859856538,22.6347716186621,22.48453700941,25.9207047830579,25.9207047830579,24.2385475302508,20.7675645744792,25.9090017538563,22.3195037177646,19.5526259486891,19.8757223582205,22.6228059015868,19.1724201834178,21.4061354421459,22.0590952111278,20.7296738453084,24.4541695586868,22.7687250757248,24.9838372475083,21.8451511903745,19.4189437795386,22.8681109693089,25.9582799621545,25.9571368778367,24.1052948688391,24.6881600631571,20.3498222157757,20.4569689778515,23.2461749055971,22.0252497537256,25.577291869319,24.4713401939867,24.8315967044171,19.7842913697491,21.7306260262265,24.2933713116298,20.6721766943322,22.1201907239659,"sample1","beef"
"3","sample1_3",23.5550115385022,16.6374092083194,17.4209841263761,20.9025114981762,22.411249070967,20.6815142463806,22.9699783175123,19.3457528494133,18.5935349032398,15.8070905326954,17.4495273630658,18.2270252918689,15.3167556459514,14.5512248758153,19.6659748178181,14.0100499116332,17.3770362233686,19.2284238629586,15.7451615986175,18.2978956613815,13.0594961452506,12.7060561182088,18.0624818277963,13.0170522266723,17.9359410996283,16.9559234408339,24.294876695775,26.1948740667572,30.2454435240316,30.3994224937884,27.6056304005105,18.0922697317638,26.8170904439565,28.5635342162063,28.3761732894669,27.0228630542372,25.5565160486287,20.1084693259596,21.299983542925,25.5303520161703,22.428458100743,17.6803333986011,16.7852239442797,19.8973442354686,23.7082622472842,15.3685149799623,21.2939582709202,22.6902197061054,22.4652450504544,25.8468688794443,25.8470716999653,24.1030382011345,20.6243653400435,25.7126575791082,23.6828663812896,19.6302400795275,19.2929382623701,22.5277059846611,18.7501568021237,21.2046913798622,21.7589988539869,20.5201746308783,24.4206578903984,22.6424775507481,25.0549151766816,21.9258528540466,17.1932873298545,22.7298534937292,25.8027567775896,25.8027550950743,24.0419857153376,24.7707489745623,20.4835116664963,20.5338011317546,23.3207621745572,22.1584595043008,25.4233204267611,24.5082539431937,24.6852911742103,19.945368227883,21.5891011866428,24.0785809042462,20.4213103284638,22.0078766638853,"sample1","beef"
"4","sample2_1",24.6908761764617,17.698223091274,18.8517185458151,21.8528936849273,22.8679771663613,20.9917321942424,22.7876471370982,19.6506082808628,21.1445798311974,18.5425747110988,15.9254848995549,19.0821516407646,15.0051859200698,17.8993274172418,20.0299113142684,16.6437152947074,19.0525653975402,19.3967657275518,15.8843613391657,19.2829933690967,15.9404971344582,15.6448702282692,18.1299420218585,14.7879025593914,18.1299420218585,18.232561457177,24.9746553208134,27.0892923652253,30.47950273249,29.7314680970761,28.4311671445279,19.2608483414611,26.8699535724901,27.5026457217728,27.5240652838978,26.8658517109761,26.117317236879,19.3249803763515,18.5643802527083,26.1705996653709,21.7286948824916,18.006901297223,18.9787691031461,19.3152667800051,23.7887179344762,15.73582042326,22.1053756047874,22.093703181272,23.519219070402,25.2225504647357,25.2219063779228,22.8486531195248,20.5274054147579,26.0975238889251,24.5077696023313,19.626188496516,19.1859933004061,24.0945669410214,18.4453786432352,20.267738822607,22.1075951122183,21.3307533379137,26.3001542306513,24.0308166369979,25.8424337439709,24.395793374675,19.673881832377,23.8538316039855,26.4892820739111,26.4892820739111,25.9203473803574,24.9378516454978,22.9544247740219,21.8413048137205,23.87515604068,23.1260294882729,25.1438155224159,24.8522044451084,24.8555084951255,19.9083779601178,20.9595145407063,24.0845619583785,20.368860237177,22.1944472759167,"sample2","beef"
"5","sample2_2",25.0392475263708,17.775681004414,19.2063395201362,22.0983906862385,23.1655316145687,20.8390468953399,23.1473510548699,20.0056163261245,21.513273637149,18.6471632688887,16.0054710441695,19.4158098385757,15.9056220443697,18.0550811526211,20.3014560044485,14.9105540886543,19.3445538186199,19.8061263446841,16.2985280167429,19.5545851046465,16.3159986226286,15.4747199465265,18.3997577304327,15.0116640518906,18.3906434047109,18.3749630441628,25.1270450358227,27.4113711969737,30.7454583801678,30.0353989887034,28.6584450775801,19.4776278451158,27.2737554119492,27.8337399373666,27.8947363713065,27.2985046989145,26.3204172275653,19.452118548855,23.2958406656842,26.5138259017447,22.2052023165784,18.7605997611814,14.7379338754466,19.6587763198491,23.1922411846491,15.7701734831977,22.4388248411499,22.3959629073519,23.8772515513575,25.704966969609,25.704966969609,23.2711262988987,21.1158590212966,26.6027440385678,25.0062546309655,19.9581349462521,19.9633067530983,24.577403529256,19.2273832652597,20.6522121500104,22.6736483147905,21.7034799175647,26.7327339524594,24.3717570394805,26.2752721315584,24.8297899844049,19.7645120381464,24.0831600211869,26.9156622669838,26.9151611657597,26.3633544915587,25.3399911491481,23.1284807061227,22.3508091831429,24.20370204716,22.3382491753283,25.6802552594825,25.2404879831411,25.2380180978557,20.122608116666,21.707068815907,24.6382934388581,20.7206383907205,22.5289474212355,"sample2","beef"
"6","sample2_3",25.4589835061514,18.2715973434226,19.8206795073215,22.4883528890119,23.6277415557434,21.2365508601674,23.6268495053328,20.4321521454241,21.9654160208935,19.0078078457847,16.1390338754046,19.9502108818789,15.7645993963747,18.6844328602788,20.9578805218925,16.9668406963272,19.8616862672976,20.4756493380205,16.9000074060288,20.0556532199601,16.7477902080795,15.6543580943509,18.8716561623531,15.2322130709244,18.8716561623531,19.1044020083377,25.3837389813091,26.8415646879412,29.909043194505,30.1621223215885,28.931363407439,19.8683347581001,27.5039316004918,28.1272385491901,28.1306873352142,26.2865682397666,24.4995781495273,18.17154583609,21.6213403748603,25.1321455735867,19.8636017413353,15.6233328638153,13.8441259884214,18.7470486103257,20.8854644901856,17.138104962082,22.9945470937868,22.7456186159415,21.6061604603772,26.0204105400616,26.0200390462888,23.0409162112682,21.4170616617851,26.9803528404709,25.2362040212651,20.3455891282359,19.6691739667542,24.9073535570229,19.2447566531885,20.4233997630824,21.8649117339768,17.7152860395714,25.055939112471,24.6127757301619,26.5065986380622,25.0170624570663,19.72530382308,24.3408578762217,27.1923077053576,27.1926267087688,26.6140836211296,25.6156080768538,23.5089263671116,22.6077211883409,24.4576806582615,23.2424967323515,26.0265138217454,25.5316013830854,25.6006319629329,20.55514670318,21.8869699106069,24.9337609471497,21.0007335442235,22.4200953519576,"sample2","beef"
"7","sample3_1",25.0796752860634,18.3498556833551,18.8660563865641,22.9610276393387,23.5810138838003,22.1818650162566,23.8384151139716,21.0083486008322,20.0153905498851,17.5579198566529,17.4631172168106,19.238512034286,15.6174100685827,14.6821250846955,20.3256765703104,17.2305177404214,17.3343343974017,20.5220096283297,17.2420110711128,19.0960922813918,15.8421538846349,14.9043053305281,19.0473369598042,16.2613971195277,19.0513284452665,19.2520047234494,24.2544921409391,26.5618948354434,30.4099095344993,30.072904565672,26.9728085831799,19.0423380355187,27.7752807459515,28.5904446992542,27.8169700476208,26.4568410177434,24.1964128725206,17.3844633704012,20.7305306705681,25.2581091172178,21.5379956360489,17.3714533627687,14.6290150325225,19.7631831836956,22.940003107833,9.26824639521092,21.6861542494889,21.9800586692826,22.7028583586542,25.4971680603122,25.4971680603122,23.2628983038098,20.0608120146625,25.9028899656215,23.339340606515,18.6112157584267,18.8721728552845,22.4985634098561,18.5984960025374,20.8873500423165,17.4244533686415,12.8431359111114,26.9776526900466,23.961339290077,26.0286120991663,22.6565128066004,16.9327683925409,23.9543227953079,26.9741194633777,26.9731971256469,25.3307071850465,24.8564144148301,19.9908144638034,20.9138295023198,22.6486810180078,21.4485630040861,25.6582672244874,24.4014394414921,24.0248664134482,19.7774559966576,21.152441445017,24.1986259365391,21.0111562635046,22.3222786217363,"sample3","beef"
"8","sample3_2",25.1618858069001,18.5384087274103,18.8910419958137,22.9924149224953,23.6528974769612,21.7114539873273,23.7653530807799,20.9818682579097,20.0287168204087,17.9015033170985,17.9807978356085,18.8532333976165,17.0148595601384,15.5699742461371,20.3538952344805,17.1929766223944,17.8425529135136,20.2699690221918,17.1627355171252,19.0053147812089,15.9055045294804,15.9394873901705,18.8374123504391,15.6583788649476,18.8374123504391,18.8085526033404,24.6212561427809,26.8495217036422,30.6168193363945,30.2931301953275,27.7984638533761,19.2150826560307,28.0517206808871,28.8281689020866,28.0676373071667,26.8263077339201,25.1498338542884,18.0249773018824,21.3556774683981,25.6301523988141,22.618448909512,17.6272061174512,20.2478556772174,20.1017179725421,24.5943992153225,15.1254941919851,21.8535775988371,22.3370166853411,23.0262210010124,25.6763527153807,25.6763527153807,23.4714876820108,20.4062278463591,26.0082003660058,23.4644430468672,18.6779019762464,17.1694944455172,22.7076784545329,18.1553667271413,21.0250449125986,22.314339836217,20.7084617168518,27.1122096662091,24.2598728985569,26.2571006098188,22.9970686754293,18.7255160426406,24.0955813311457,27.1496716873954,27.1496716873954,24.7482255115248,25.0904169855133,20.4448228047112,21.3716862604053,22.9285453020717,22.4577032525428,25.834006925833,24.5469328951989,24.2422422018956,20.0693317548126,21.4585307737448,24.4620300301721,21.1550776165829,22.4733472922793,"sample3","beef"
"9","sample3_3",24.3122440215757,17.4284249532918,18.3859974295174,22.593780815662,22.9856983322136,20.8603877244186,23.3312002794074,20.2194905823114,19.5713713773334,17.2353334169208,16.4306908607239,18.2774758469708,15.3706330322641,15.338346704285,19.6545226337378,16.6554962926369,17.3079758174641,19.9511091534857,16.7131692236929,18.3974571414988,14.8195252471887,14.8073792642117,18.1510169582504,15.4153761958465,18.1510169582504,18.2853403393861,24.1248489612367,26.4321173774669,30.1133580836045,29.9921473763657,26.7163394539402,19.1572087245891,27.8428579009778,28.6473822501372,27.9634999683564,26.69021090306,23.9019400347024,13.1574437646735,20.5813448385807,25.4045404755309,21.6262931688709,17.3794849698323,17.471825952417,18.9365910158416,17.4681321682746,7.18731984757871,21.7685409022221,22.0163652737924,22.8741719637318,25.8119429931887,25.8119429931887,23.3968670666709,20.4588930997971,26.2168833943482,23.21419279308,18.8152012130807,17.409776605959,22.6854233091489,18.176644906613,21.0299051184431,22.0613256669842,20.2012541121415,27.0640925912375,24.0242873179159,26.0173636909611,22.7891225110026,20.1387359376626,23.9766487719267,27.1393757683523,27.1393757635995,24.666330884844,24.8990291578745,20.4821432064516,20.7002723750331,22.6244617009859,17.0547565412877,25.8299263751619,24.5090459175107,24.2073692488875,19.9093686972286,21.3773307218583,24.407803291053,21.1078549831154,22.2870151170625,"sample3","beef"
