"","Sample_nr","Group","Treatment","Biol_rep","Tech_rep","SID","LPC (16:0)_1","LPC (16:0)_2","LPC (16:1)_1","LPC (16:1)_2","LPC (18:0)","LPC (18:1)_1","LPC (18:1)_2","LPC (18:2)_1","LPC (18:2)_2","LPC (18:3)_1","LPC (18:3)_2","LPC (18:4)","LPC (20:1)_1","LPC (20:1)_2","LPC (20:2)_1","LPC (20:2)_2","LPC (20:3)_1","LPC (20:3)_2","LPC (20:4)_1","LPC (20:4)_2","LPC (20:4)_3","LPC (20:5)_1","LPC (20:5)_2","LPC (20:5)_3","LPC (21:5)_1","LPC (22:4)_1","LPC (22:4)_4.35","LPC (22:5)_1","LPC (22:5)_2","LPC (22:5)_3","LPC (22:6)_1","LPC (22:6)_2","LPE (20:4)_3.44","LPE (20:4)_3.51","LPE (20:4)_3.71","LPE (20:5)_2.79","LPE (20:5)_2.97","LPE (20:6)_3.39","LPE (20:6)_3.60","LPS (18:0)","LPS (22:6)","PC (32:0)","PC (32:1-16:1_16:0ev18:4_14:0)","PC (34:1-18:1_16:0)","PC (34:2-18:2_16:0)","PC (34:3-18:2_16:1ev18:3_16:0)","PC (36:0)_nurExactMass","PC (36:1-18:1_18:0)","PC (36:2-18:2_18:0ev18:1_18:1)","PC (36:3-18:2_18:1)","PC (36:3-20:3_16:0ev18:2_18:1)","PC (36:4-18:2_18:2)","PC (36:4-20:4_16:0)","PC (36:5-20:5_16:0)","PC (36:6-22:6_14:0)","PC (38:4-18:0_20:4)","PC (38:5-20:4_18:1)","PC (38:5-22:5_16:0)_12.07","PC (38:5-22:5_16:0)_12.45","PC (38:6-22:6_16:0)","PC (38:7-22:6_16:1)","PC (40:6-22:6_18:0)","PC (40:7-22:6_18:1)","PC (40:8-22:6_18:2)","PC (40:9-22:6_18:3)","PC (42:10-22:6_20:4)","PC (44:12-22:6_22:6)_10.93","PC (44:12-22:6_22:6)_11.70","PE (34:1-18:1_16:0)","PE (34:2-18:2_16:0)","PE (36:1-18:1_18:0)","PE (36:2-18:1_18:1)","PE (36:2-18:2_18:0)","PE (36:3-18:2_18:1)","PE (36:4-20:4_16:0)","PE (38:3-20:3_18:0)","PE (38:4-20:4_18:0)","PE (38:5-20:4_18:1ev20:5_18:0)","PE (38:5-22:5_16:0)","PE (38:6-20:5_18:1ev20:4_18:2)","PE (38:6-22:6_16:0)","PE (40:5-22:5_18:0)","PE (40:6-22:5_18:1)","PI (36:1-18:1_18:0)","PI (36:2-18:2_18:0)","PI (38:4-18:0_20:4)","PI (38:5-18:0_20:5)","P-PC (32:0)_nurExactMass","P-PC (34:0)","P-PE (34:1-P16:0_18:1)","P-PE (34:2-P16:0_18:2)","P-PE (34:3-P16:0_18:3)","P-PE (36:0)_nurExactmass","P-PE (36:1-P18:0_18:1)","P-PE (36:2-P18:0_18:2)","P-PE (36:2-P18:1_18:1)","P-PE (36:3-18:2_P18:1ev18:3_18:0)","P-PE (36:4-P16:0_20:4)_12.94","P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52","P-PE (36:4-P18:1_18:3)_12.41","P-PE (36:5-P16:0_20:5)","P-PE (38:3-P18:0_20:3)_14.52","P-PE (38:3-P18:0_20:3)_15.01","P-PE (38:4-P18:0_20:4)","P-PE (38:4-P18:0_20:4evP18:1_20:3)","P-PE (38:5-P16:0_22:5)","P-PE (38:5-P18:0_20:5)","P-PE (38:5-P18:1_20:4ev18:0_20:5)","P-PE (38:6-P18:0_20:6)","P-PE (38:6-P18:1_20:5)","P-PE (40:4-P18:0_22:4)","P-PE (40:5-P18:0_22:5)","P-PE (40:6-P18:0_22:6)","P-PE (40:6-P18:1_22:5)"
"1","sample1","beef","N","sample1_1","sample1_1_1","N_sample1_1_1",23836126,205641,381218,NA,3565232,10965319,2969890,18869740,1666361,1024781,296595,NA,NA,NA,289464,15728,615473,22555,100149,2128934,88212,515387,30996,1820744,NA,113073,NA,754417,48891,NA,100995,NA,NA,545743,49051,NA,NA,NA,547540,283234,NA,25815427,103284751,1595333538,1743298186,236240921,403059,165391613,539630252,463193907,19362647,83436864,169731984,51671840,1264077,NA,1239537,60557596,1174800,4973369,460736,26281,1220326,10348360,23329,NA,NA,34358,3715662,8949371,8417747,86992663,86936237,26022271,2363788,NA,81435793,16988447,1161477,1093083,97412,9531250,962455,1324303,3653147,6339419,2189574,NA,31326761,9598378,45872512,5435294,570092,9825265,88587650,88518879,27789391,38083919,2242654,1708406,13521448,8224921,763390,7692556,62945637,33392452,37919611,NA,1482080,4558298,2421799,24944170,1942280,4166827
"2","sample1","beef","N","sample1_2","sample1_2_1","N_sample1_2_1",9616647,81518,144234,NA,1698316,4278824,1381110,6740598,456915,465744,89956,NA,NA,NA,113281,NA,228964,52680,39333,751770,45874,242008,NA,551749,NA,45480,NA,275629,NA,NA,NA,NA,NA,170255,NA,NA,NA,NA,170255,117461,NA,18167077,68044559,1067768756,1279587944,180601687,319661,129279662,350864750,325664992,NA,13043500,136664418,41077321,NA,18868765,1408459,52387859,1142198,5248246,309964,565154,875888,8725935,71750,NA,NA,33843,2573296,6512462,5868405,63519877,63519877,19793831,1785089,NA,63006693,5234077,769001,962030,51406,6458671,590845,849277,2779002,4369677,1738816,34756,22984685,7146102,33180614,3767435,700946,7655743,65195993,65144357,18047490,27031909,1336309,1439333,9949378,4725286,603930,4268358,50064751,23259878,29857638,87199,902953,3479928,1986376,20560490,1670880,4558699
"3","sample1","beef","N","sample1_3","sample1_3_1","N_sample1_3_1",11850440,81498,181867,NA,1981582,5480692,1673861,8022640,689688,403947,81538,NA,NA,NA,167694,NA,284308,71356,NA,767010,NA,203398,NA,635370,NA,50476,NA,340036,NA,NA,NA,NA,NA,268153,23807,NA,NA,NA,268153,134507,NA,20681674,76969117,1262745300,1382388847,203973021,272175,117956527,400859104,350792251,NA,18347639,136124019,48838920,1106848,19305782,1057156,49301417,1019956,5315882,160293,608613,788822,13796522,28106,NA,NA,26051,2555297,6644472,5772654,60195234,60195234,18647132,1638095,NA,54724583,16700976,810917,812101,74508,6016045,477629,909216,2530091,3592757,1496888,29020,21982992,6508712,35108752,4225730,313888,6902691,59850104,59850139,17488708,28738873,1519783,1566442,10112251,5874095,553270,5422241,44575936,23840678,26661612,NA,969520,3283232,1559584,17567409,1505761,4378255
"4","sample1","beef","N","sample1_3","sample1_3_2","N_sample1_3_2",12817271,127518,169326,NA,1938893,5676505,1689635,8413712,643652,387346,NA,NA,NA,NA,191049,NA,331111,23344,NA,902185,NA,142453,NA,593797,NA,59765,NA,305426,NA,NA,67625,37167,NA,279457,NA,NA,NA,NA,234493,120154,NA,20482717,76660059,1283085819,1450927866,204490375,286935,118515530,392617281,346025937,NA,19522108,136599759,49864306,1154561,NA,6305635,47636968,925272,5993796,275237,20959,1208971,13615279,63675,18276,79852,29832,2587015,6893075,5808309,60506711,60523726,17412572,1595020,NA,55256063,10858366,812093,508038,97956,6077422,407032,943998,2308661,3505862,1510730,NA,22941102,6586198,34605619,3756445,71551,7009983,57245666,57245499,17059252,28510654,1414234,1471180,10855505,5505411,578608,4041505,45421723,23884742,27298563,NA,1051360,3031325,1684767,17866624,1309477,4062197
"5","sample2","beef","N","sample2_3","sample2_3_1","N_sample2_3_1",67317530,441575,1385023,NA,8782830,18723454,2941054,19689856,1865358,6211613,900212,67075,21759,21618,96283,NA,1501735,87711,636903,3208625,248482,1439081,129603,2496075,NA,184924,53031,1685722,182739,27984,77293,23624,NA,661395,49752,NA,NA,NA,661395,743240,NA,57334601,98448553,NA,1536862788,658504407,1412124,260750858,409260935,397294427,244114116,9151484,NA,NA,119745,222027,1150253,17273918,158307,NA,NA,17590,289743,389533,318012,850616,NA,31148,11846668,9745570,762854,96689226,96689285,9315939,4232880,9654863,198017977,57059348,2123901,1011190,166792,46716605,686881,NA,3155632,12520131,7780402,1774203,NA,36669211,133219588,46620446,3255390,30486023,218146873,218243366,146211898,76654165,16320464,8885449,32474669,21685826,1392104,19358712,106653168,71959122,76145759,NA,2233534,5404246,2717708,47927639,2858123,6589353
"6","sample2","beef","N","sample2_1","sample2_1_1","N_sample2_1_1",27082849,212665,473078,NA,3787708,7655033,2085168,7240446,823043,2318210,381831,15171,NA,NA,62237,NA,555009,32886,244475,1070543,102390,543743,NA,690253,NA,60488,NA,637910,62888,NA,51236,NA,NA,286851,28288,NA,NA,NA,286851,307998,NA,32970109,142787294,1497078507,891381697,361937950,628193,122648434,190160943,193005308,NA,24325998,122300216,72794052,656748,NA,387646,75532786,404781,3475273,263401,516629,652341,14491644,54570,263370,NA,11671,4512125,4475766,12022379,39151126,39133651,7553182,1511349,4315649,71802159,23854690,809229,596430,NA,17913786,356954,3365516,1262401,4519072,2637525,275824,82629536,17139440,60165526,22073214,836428,15160685,94203810,94203810,63504143,32139667,8127751,3757404,15386439,8698741,694097,9154372,37071715,30287191,30356634,325749,984054,2039119,1521669,17789985,1354060,4799482
"7","sample2","beef","N","sample2_2","sample2_2_1","N_sample2_2_1",34479787,224395,604901,NA,4490332,9408489,1875764,9290669,1052666,2993234,410540,21040,NA,NA,65785,NA,699425,61386,272346,1292252,NA,665719,NA,916723,NA,80602,26215,770046,81584,NA,45536,NA,NA,345843,33034,NA,NA,NA,343665,339950,NA,36643273,178502767,1800135526,1100413798,423693301,730046,162262616,239216214,249547009,NA,33525293,165070228,83798276,717251,NA,10297856,95820161,NA,4835395,444123,27325,827716,9584297,55885,276818,NA,NA,5685378,5518952,15408804,54697326,54697326,10122949,2272516,5010548,101911671,33700219,1018585,1022243,NA,25034313,613789,4282314,1647917,6690341,3415061,51123,111520520,21708505,81216647,29820270,890658,17772706,126596499,126552535,86329751,42471483,9169939,5348894,19321477,12469913,797121,5302529,53768402,39640944,39573137,NA,1141586,3423567,1591733,26113517,1727960,6051861
"8","sample2","beef","N","sample2_3","sample2_3_1","N_sample2_3_1",31601465,226774,619129,NA,3941877,8972881,2075748,8521936,1073048,2699565,308671,24698,NA,NA,54090,NA,683330,35333,278661,1292952,66033,630727,56765,851749,NA,80877,NA,704564,66274,NA,34413,NA,NA,347863,29778,NA,NA,NA,347863,427432,NA,33428499,146900362,1546706380,939230113,397976764,648719,138928413,210031631,217394674,NA,28757946,129359403,68119941,727953,145763,9047959,78283186,322038,3898205,245112,12295,668090,9632928,65422,227927,NA,33241,5895228,5074809,13358674,47914842,47890143,7994424,1852337,4870568,88529167,27376755,835855,687369,NA,21195799,561845,NA,NA,NA,5952,90509,95374501,17950063,68232999,24728398,230788,14810029,107808139,107808139,72159288,34482363,8730749,4597535,16347309,10905949,690952,5087459,43807546,32694135,33999344,344787,1062769,2783132,1294513,21430577,1540354,4779689
"9","sample3","beef","N","sample3_1","sample3_1_1","N_sample3_1_1",35459658,334085,477803,NA,8165035,12548520,4757806,14999542,2109323,1059822,192957,NA,NA,NA,180685,18526,618542,50270,NA,1314130,153781,165255,NA,1505707,NA,155011,NA,560398,58744,NA,30665,NA,NA,541776,78554,NA,NA,NA,543277,624354,NA,20013805,99066561,1426576072,1129396223,131711729,539902,229716739,404186165,236451663,14437085,43800486,92109142,19224102,171098,NA,1739849,40128089,1529752,3044968,169562,25338,889838,8046908,NA,147763,NA,12173,3374294,4136728,6827180,47360076,47360076,10065380,1093720,NA,62740338,10613084,400437,479833,NA,5925738,396922,2060792,1939630,175907,7348,89954,132154718,16333598,68453079,6611347,125104,16254353,131831461,131747206,42199050,30375702,1041921,1975559,6575554,6832619,1261995,2861942,52955134,22159768,17068896,NA,898685,2330877,3332056,19253614,2113432,5244154
"10","sample3","beef","N","sample3_2","sample3_2_1","N_sample3_2_1",37538972,380730,486150,NA,8344620,13189600,3433989,14258838,2070960,1069657,244844,NA,NA,NA,258678,NA,473575,132429,48644,1340087,149831,235041,30129,1264354,NA,146723,NA,526223,61381,18237,62844,NA,NA,468410,51718,NA,NA,NA,468410,459133,NA,25806947,120923693,1646573009,1315651458,233437946,608578,278233459,476588501,281320083,NA,23241948,118993517,37226686,266722,NA,2683487,51933150,2578857,6439195,202450,1245122,1125175,25330974,35746,NA,NA,16543,3789504,5298001,8542465,53623153,53623153,11631128,1389590,NA,67491401,11574472,419381,147412,NA,6850028,291951,7021698,2133876,5215376,1713437,63380,145073590,20088589,80200095,8371581,433453,17926386,148890007,148890007,28181118,35724661,1427266,2713430,7983253,7710433,1231141,5760263,59815122,24511117,19844587,NA,1100198,2881784,3666357,23110258,2335140,5823065
"11","sample3","beef","AS","sample3_3","sample3_3_1","AS_sample3_3_1",20919477,179652,363344,NA,6141815,8177319,1891753,10111492,1370499,853218,209482,NA,NA,NA,86456,NA,309249,36978,49895,810823,100962,170283,NA,943196,NA,102736,NA,331782,39741,NA,28703,NA,NA,273158,47156,NA,NA,NA,273158,322161,NA,19489179,91332660,1219269647,1106850324,110779551,656780,244806145,439252318,276798567,NA,NA,107969520,15730659,181565,25830130,1626431,44673835,1380187,3308444,169435,893505,823229,209033,36526,NA,NA,26818,3571732,4199623,8051833,60418308,60418308,11717953,1496038,NA,79623674,12378867,483819,183601,16589,6881977,305305,NA,2176927,4392428,1196935,NA,142962392,17433205,67732188,7351080,1174938,17072035,151770795,151770794,27640061,32430723,1506051,1809867,6502248,7562984,1284163,1776833,60715382,24503294,19838950,NA,1013182,2828020,3688872,23196208,2318939,5191634
"12","sample3","beef","AS","sample3_3","sample3_3_2","AS_sample3_3_2",20743336,173191,322965,NA,6524012,8436424,1915757,11014556,1087596,711344,113647,NA,NA,NA,90254,NA,326459,48540,NA,839993,105548,154621,NA,1089338,NA,112359,NA,359352,21038,NA,28642,NA,NA,310161,40499,NA,NA,NA,310161,316810,NA,17171681,89762358,1106492168,1030346008,109743675,520438,236727369,402465490,247480344,NA,6932809,108594286,15619060,NA,23691827,1513452,44157470,1311503,3167394,171589,36982,305804,157271,NA,NA,NA,24099,3573458,4285114,7340557,57434073,57434073,10410362,1388476,NA,76400179,7649901,439741,165141,7436,6611082,287539,NA,2105817,4360506,1214217,NA,137716363,16698789,68111219,7146078,1134259,15962307,143993912,143993912,25649090,30182322,1424424,1603833,6430129,5279081,1175416,NA,58595804,23264381,18913410,NA,957077,2623935,3504240,21357226,2202448,5044476
"13","sample4","game","AS","sample4_1","sample4_1_1","AS_sample4_1_1",150380726,2834378,2148049,NA,49242230,185272164,28499948,345616133,46398261,70129513,12878245,434096,772519,203361,2355253,455272,12338414,1599575,855468,73539446,11573575,10241700,1776808,36690529,NA,971390,1135832,14397972,2875886,172096,2249630,1193146,NA,17463906,3161875,NA,NA,53999,17488563,343120,NA,52973586,38677070,884528275,892482309,287953872,4065861,228696382,405212379,316587335,NA,NA,211830701,42136739,31716,892347,24320317,47554734,NA,10073151,820607,4372228,1477666,1944450,298702,NA,NA,35160,2816715,4065413,23551469,128763023,128524734,58157152,4258642,5873489,244885939,69467684,587912,1273187,332104,30417454,119388,NA,2347611,9521171,3034878,21128,17024208,6327833,12134006,3954131,60603,3590119,9994610,9957688,10247084,76880990,1110286,1412239,23356559,1234093,364619,962766,88249976,68067712,52985941,NA,7999932,3719082,1334327,36766787,7789168,7618430
"14","sample4","game","AS","sample4_1","sample4_1_2","AS_sample4_1_2",175964431,2822479,1880191,NA,52801282,208799016,32163490,364808250,55060125,79791198,16064624,404356,684893,192616,2866811,486712,11294013,1853494,829379,79352932,12529272,11692669,2188047,42265794,NA,1205714,1282392,16245909,2673120,NA,2420485,1276270,NA,18519271,3026008,NA,NA,87188,18522903,330767,NA,48378237,41009568,888696240,864704112,294234993,3862803,216570406,416675433,286590062,NA,NA,219717539,41204163,NA,67712414,21608292,49915830,NA,10115778,1113803,4185423,1656274,1907419,304269,NA,NA,29922,3235310,4011915,23207938,131294596,131254904,51544389,4410191,5399523,250225026,43298292,619221,3955055,308624,31186071,155556,NA,2353029,9055328,2896557,NA,13794194,6519423,12277518,3796205,15472,3530857,8721827,1113642,10383853,82474134,646840,630160,24941900,1206323,374892,1368824,85965299,71323049,40497668,NA,7483626,4014272,1347421,36652080,7937605,6636466
